date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,19.0,19.12,18.12,19.12,297800,5.75421636181413,5.79055878094137,5.48770528821431,5.79055878094137,297800,0.0,1.0
2000-01-04,18.88,18.88,18.56,18.81,621800,5.71787394268688,5.71787394268688,5.62096082501422,5.69667419819598,621800,0.0,1.0
2000-01-05,18.94,19.06,18.75,18.81,439900,5.7360451522505,5.77238757137775,5.67850298863236,5.69667419819598,439900,0.0,1.0
2000-01-06,19.38,19.5,18.88,18.88,593400,5.86930068905041,5.90564310817766,5.71787394268688,5.71787394268688,593400,0.0,1.0
2000-01-07,19.75,20.0,19.38,19.44,334800,5.98135648135942,6.05706985454119,5.86930068905041,5.88747189861403,334800,0.0,1.0
2000-01-10,19.88,19.94,19.62,19.88,278200,6.02072743541394,6.03889864497756,5.9419855273049,6.02072743541394,278200,0.0,1.0
2000-01-11,19.69,20.12,19.69,20.12,243100,5.9631852717958,6.09341227366843,5.9631852717958,6.09341227366843,243100,0.0,1.0
2000-01-12,19.5,19.81,19.5,19.75,151100,5.90564310817766,5.99952769092304,5.90564310817766,5.98135648135942,151100,0.0,1.0
2000-01-13,19.56,19.69,19.5,19.69,134700,5.92381431774128,5.9631852717958,5.90564310817766,5.9631852717958,134700,0.0,1.0
2000-01-14,19.5,19.69,19.44,19.56,246200,5.90564310817766,5.9631852717958,5.88747189861403,5.92381431774128,246200,0.0,1.0
2000-01-18,19.62,19.69,19.38,19.38,235600,5.9419855273049,5.9631852717958,5.86930068905041,5.86930068905041,235600,0.0,1.0
2000-01-19,19.88,19.88,19.56,19.69,350100,6.02072743541394,6.02072743541394,5.92381431774128,5.9631852717958,350100,0.0,1.0
2000-01-20,19.88,19.94,19.56,19.88,161400,6.02072743541394,6.03889864497756,5.92381431774128,6.02072743541394,161400,0.0,1.0
2000-01-21,20.5,20.75,19.62,19.88,325700,6.20849660090472,6.28420997408648,5.9419855273049,6.02072743541394,325700,0.0,1.0
2000-01-24,20.0,20.56,20.0,20.5,226200,6.05706985454119,6.22666781046834,6.05706985454119,6.20849660090472,226200,0.0,1.0
2000-01-25,20.06,20.12,19.81,20.0,257700,6.07524106410481,6.09341227366843,5.99952769092304,6.05706985454119,257700,0.0,1.0
2000-01-26,19.81,20.0,19.62,20.0,272900,5.99952769092304,6.05706985454119,5.9419855273049,6.05706985454119,272900,0.0,1.0
2000-01-27,19.62,19.81,19.5,19.75,227100,5.9419855273049,5.99952769092304,5.90564310817766,5.98135648135942,227100,0.0,1.0
2000-01-28,19.69,19.75,19.5,19.69,169000,5.9631852717958,5.98135648135942,5.90564310817766,5.9631852717958,169000,0.0,1.0
2000-01-31,19.81,20.06,19.62,19.81,183000,5.99952769092304,6.07524106410481,5.9419855273049,5.99952769092304,183000,0.0,1.0
2000-02-01,20.0,20.06,19.81,19.81,150100,6.05706985454119,6.07524106410481,5.99952769092304,5.99952769092304,150100,0.0,1.0
2000-02-02,20.06,20.38,20.0,20.19,263100,6.07524106410481,6.17215418177747,6.05706985454119,6.11461201815933,263100,0.0,1.0
2000-02-03,20.25,20.38,19.94,19.94,116700,6.13278322772295,6.17215418177747,6.03889864497756,6.03889864497756,116700,0.0,1.0
2000-02-04,20.12,20.19,20.0,20.06,113500,6.09341227366843,6.11461201815933,6.05706985454119,6.07524106410481,113500,0.0,1.0
2000-02-07,20.12,20.25,19.88,19.88,248900,6.09341227366843,6.13278322772295,6.02072743541394,6.02072743541394,248900,0.0,1.0
2000-02-08,20.12,20.25,20.12,20.19,208100,6.09341227366843,6.13278322772295,6.09341227366843,6.11461201815933,208100,0.0,1.0
2000-02-09,19.75,20.0,19.69,19.94,294600,6.09946934352297,6.1766778162258,6.0809393100743,6.15814778277712,294600,0.39,1.0
2000-02-10,19.56,19.69,19.5,19.5,201600,6.04079090426883,6.0809393100743,6.02226087082015,6.02226087082015,201600,0.0,1.0
2000-02-11,19.5,20.06,19.5,19.56,5817900,6.02226087082015,6.19520784967447,6.02226087082015,6.04079090426883,5817900,0.0,1.0
2000-02-14,19.12,19.38,18.5,18.5,336100,5.90490399231186,5.9852008039228,5.71342698000886,5.71342698000886,336100,0.0,1.0
2000-02-15,18.94,19.38,18.75,19.31,431100,5.84931389196583,5.9852008039228,5.79063545271168,5.96358243156601,431100,0.0,1.0
2000-02-16,19.19,19.5,19.0,19.12,140700,5.92652236466865,6.02226087082015,5.86784392541451,5.90490399231186,140700,0.0,1.0
2000-02-17,19.31,19.81,19.12,19.25,212000,5.96358243156601,6.11799937697165,5.90490399231186,5.94505239811733,212000,0.0,1.0
2000-02-18,19.12,19.31,19.0,19.25,196800,5.90490399231186,5.96358243156601,5.86784392541451,5.94505239811733,196800,0.0,1.0
2000-02-22,18.81,19.19,18.69,18.88,209400,5.80916548616036,5.92652236466865,5.77210541926301,5.83078385851715,209400,0.0,1.0
2000-02-23,18.81,18.94,18.69,18.69,153300,5.80916548616036,5.84931389196583,5.77210541926301,5.77210541926301,153300,0.0,1.0
2000-02-24,18.75,18.88,18.62,18.69,149200,5.79063545271168,5.83078385851715,5.75048704690622,5.77210541926301,149200,0.0,1.0
2000-02-25,18.56,18.75,18.5,18.75,118500,5.73195701345754,5.79063545271168,5.71342698000886,5.79063545271168,118500,0.0,1.0
2000-02-28,18.38,18.62,18.06,18.06,267400,5.67636691311151,5.75048704690622,5.57754006805189,5.57754006805189,267400,0.0,1.0
2000-02-29,18.38,18.44,18.19,18.38,373900,5.67636691311151,5.69489694656018,5.61768847385736,5.67636691311151,373900,0.0,1.0
2000-03-01,18.56,18.62,18.31,18.38,350500,5.73195701345754,5.75048704690622,5.65474854075472,5.67636691311151,350500,0.0,1.0
2000-03-02,18.5,18.62,18.19,18.5,193200,5.71342698000886,5.75048704690622,5.61768847385736,5.71342698000886,193200,0.0,1.0
2000-03-03,18.25,18.56,18.19,18.31,444000,5.63621850730604,5.73195701345754,5.61768847385736,5.65474854075472,444000,0.0,1.0
2000-03-06,18.31,18.44,18.12,18.31,119300,5.65474854075472,5.69489694656018,5.59607010150057,5.65474854075472,119300,0.0,1.0
2000-03-07,18.0,18.25,17.88,18.12,613400,5.55901003460322,5.63621850730604,5.52194996770586,5.59607010150057,613400,0.0,1.0
2000-03-08,17.94,18.31,17.88,18.0,227500,5.54048000115454,5.65474854075472,5.52194996770586,5.55901003460322,227500,0.0,1.0
2000-03-09,18.0,18.12,17.88,17.94,126900,5.55901003460322,5.59607010150057,5.52194996770586,5.54048000115454,126900,0.0,1.0
2000-03-10,18.0,18.12,17.88,18.06,107200,5.55901003460322,5.59607010150057,5.52194996770586,5.57754006805189,107200,0.0,1.0
2000-03-13,17.94,18.0,17.75,17.94,174400,5.54048000115454,5.55901003460322,5.48180156190039,5.54048000115454,174400,0.0,1.0
2000-03-14,17.88,18.12,17.75,18.0,215400,5.52194996770586,5.59607010150057,5.48180156190039,5.55901003460322,215400,0.0,1.0
2000-03-15,18.0,18.0,17.75,17.88,317600,5.55901003460322,5.55901003460322,5.48180156190039,5.52194996770586,317600,0.0,1.0
2000-03-16,18.25,18.5,17.88,18.0,537900,5.63621850730604,5.71342698000886,5.52194996770586,5.55901003460322,537900,0.0,1.0
2000-03-17,17.94,18.5,17.94,18.38,446800,5.54048000115454,5.71342698000886,5.54048000115454,5.67636691311151,446800,0.0,1.0
2000-03-20,18.19,18.5,18.0,18.06,232100,5.61768847385736,5.71342698000886,5.55901003460322,5.57754006805189,232100,0.0,1.0
2000-03-21,18.44,18.62,18.0,18.06,504700,5.69489694656018,5.75048704690622,5.55901003460322,5.57754006805189,504700,0.0,1.0
2000-03-22,18.5,18.75,18.31,18.56,370600,5.71342698000886,5.79063545271168,5.65474854075472,5.73195701345754,370600,0.0,1.0
2000-03-23,18.56,18.69,18.25,18.5,259200,5.73195701345754,5.77210541926301,5.63621850730604,5.71342698000886,259200,0.0,1.0
2000-03-24,18.56,18.62,18.31,18.38,280800,5.73195701345754,5.75048704690622,5.65474854075472,5.67636691311151,280800,0.0,1.0
2000-03-27,18.25,18.69,18.12,18.44,393400,5.63621850730604,5.77210541926301,5.59607010150057,5.69489694656018,393400,0.0,1.0
2000-03-28,18.12,18.5,18.06,18.25,384900,5.59607010150057,5.71342698000886,5.57754006805189,5.63621850730604,384900,0.0,1.0
2000-03-29,18.44,18.5,18.12,18.38,261100,5.69489694656018,5.71342698000886,5.59607010150057,5.67636691311151,261100,0.0,1.0
2000-03-30,18.56,18.75,18.38,18.5,383800,5.73195701345754,5.79063545271168,5.67636691311151,5.71342698000886,383800,0.0,1.0
2000-03-31,19.12,19.12,18.5,18.56,423200,5.90490399231186,5.90490399231186,5.71342698000886,5.73195701345754,423200,0.0,1.0
2000-04-03,18.94,19.19,18.62,19.0,474200,5.84931389196583,5.92652236466865,5.75048704690622,5.86784392541451,474200,0.0,1.0
2000-04-04,18.88,19.06,18.75,18.94,208500,5.83078385851715,5.88637395886318,5.79063545271168,5.84931389196583,208500,0.0,1.0
2000-04-05,19.19,19.19,18.56,18.75,273000,5.92652236466865,5.92652236466865,5.73195701345754,5.79063545271168,273000,0.0,1.0
2000-04-06,19.25,19.38,18.88,19.19,428200,5.94505239811733,5.9852008039228,5.83078385851715,5.92652236466865,428200,0.0,1.0
2000-04-07,19.62,19.75,19.12,19.19,619200,6.05932093771751,6.09946934352297,5.90490399231186,5.92652236466865,619200,0.0,1.0
2000-04-10,19.81,19.94,19.44,19.5,591800,6.11799937697165,6.15814778277712,6.00373083737147,6.02226087082015,591800,0.0,1.0
2000-04-11,19.56,19.94,19.5,19.94,201800,6.04079090426883,6.15814778277712,6.02226087082015,6.15814778277712,201800,0.0,1.0
2000-04-12,19.81,19.94,19.44,19.69,324300,6.11799937697165,6.15814778277712,6.00373083737147,6.0809393100743,324300,0.0,1.0
2000-04-13,20.0,20.19,19.62,19.88,361600,6.1766778162258,6.23535625547994,6.05932093771751,6.13961774932844,361600,0.0,1.0
2000-04-14,19.94,20.06,19.69,19.94,362600,6.15814778277712,6.19520784967447,6.0809393100743,6.15814778277712,362600,0.0,1.0
2000-04-17,19.81,19.88,19.56,19.56,229400,6.11799937697165,6.13961774932844,6.04079090426883,6.04079090426883,229400,0.0,1.0
2000-04-18,19.81,19.94,19.69,19.81,156800,6.11799937697165,6.15814778277712,6.0809393100743,6.11799937697165,156800,0.0,1.0
2000-04-19,19.81,19.94,19.75,19.81,238300,6.11799937697165,6.15814778277712,6.09946934352297,6.11799937697165,238300,0.0,1.0
2000-04-20,20.0,20.44,19.88,19.88,464000,6.1766778162258,6.31256472818276,6.13961774932844,6.13961774932844,464000,0.0,1.0
2000-04-24,20.0,20.12,19.94,20.0,283100,6.1766778162258,6.21373788312315,6.15814778277712,6.1766778162258,283100,0.0,1.0
2000-04-25,20.62,20.81,20.19,20.25,257200,6.3681548285288,6.42683326778294,6.23535625547994,6.25388628892862,257200,0.0,1.0
2000-04-26,21.12,21.38,20.44,20.44,395900,6.52257177393444,6.60286858554538,6.31256472818276,6.31256472818276,395900,0.0,1.0
2000-04-27,21.31,21.44,21.0,21.0,258200,6.58125021318858,6.62139861899405,6.48551170703709,6.48551170703709,258200,0.0,1.0
2000-04-28,21.69,21.69,21.25,21.38,252400,6.69860709169688,6.69860709169688,6.56272017973991,6.60286858554538,252400,0.0,1.0
2000-05-01,22.19,22.25,21.44,21.69,501800,6.85302403710252,6.8715540705512,6.62139861899405,6.69860709169688,501800,0.0,1.0
2000-05-02,22.31,22.5,22.0,22.06,342300,6.89008410399988,6.94876254325402,6.79434559784838,6.81287563129705,342300,0.0,1.0
2000-05-03,22.19,22.56,22.06,22.56,224000,6.85302403710252,6.9672925767027,6.81287563129705,6.9672925767027,224000,0.0,1.0
2000-05-04,22.0,22.12,21.75,21.81,317700,6.79434559784838,6.83140566474573,6.71713712514555,6.73566715859423,317700,0.0,1.0
2000-05-05,21.94,22.0,21.88,22.0,192600,6.7758155643997,6.79434559784838,6.75728553095102,6.79434559784838,192600,0.0,1.0
2000-05-08,21.88,22.0,21.81,21.88,164600,6.75728553095102,6.79434559784838,6.73566715859423,6.75728553095102,164600,0.0,1.0
2000-05-09,21.88,22.0,21.69,21.69,285200,6.75728553095102,6.79434559784838,6.69860709169688,6.69860709169688,285200,0.0,1.0
2000-05-10,22.0,22.0,21.75,21.81,146200,6.79434559784838,6.79434559784838,6.71713712514555,6.73566715859423,146200,0.0,1.0
2000-05-11,21.56,21.75,21.5,21.69,154200,6.77890390330781,6.83864378000672,6.7600386790871,6.81977855578601,154200,0.39,1.0
2000-05-12,21.69,21.69,21.38,21.5,352800,6.81977855578601,6.81977855578601,6.72230823064569,6.7600386790871,352800,0.0,1.0
2000-05-15,22.0,22.06,21.56,21.56,1447200,6.91724888092634,6.93611410514705,6.77890390330781,6.77890390330781,1447200,0.0,1.0
2000-05-16,21.94,22.12,21.81,22.12,210700,6.89838365670563,6.95497932936776,6.85750900422743,6.95497932936776,210700,0.0,1.0
2000-05-17,21.81,21.94,21.81,21.94,91900,6.85750900422743,6.89838365670563,6.85750900422743,6.89838365670563,91900,0.0,1.0
2000-05-18,21.75,22.0,21.56,21.75,162400,6.83864378000672,6.91724888092634,6.77890390330781,6.83864378000672,162400,0.0,1.0
2000-05-19,21.75,21.75,21.56,21.69,111400,6.83864378000672,6.83864378000672,6.77890390330781,6.81977855578601,111400,0.0,1.0
2000-05-22,21.75,21.81,21.56,21.56,320200,6.83864378000672,6.85750900422743,6.77890390330781,6.77890390330781,320200,0.0,1.0
2000-05-23,21.88,22.0,21.75,21.88,218000,6.87951843248492,6.91724888092634,6.83864378000672,6.87951843248492,218000,0.0,1.0
2000-05-24,21.62,21.94,21.62,21.88,122300,6.79776912752852,6.89838365670563,6.79776912752852,6.87951843248492,122300,0.0,1.0
2000-05-25,21.44,21.69,21.25,21.62,229900,6.7411734548664,6.81977855578601,6.68143357816749,6.79776912752852,229900,0.0,1.0
2000-05-26,21.12,21.44,21.0,21.38,162800,6.64055892568928,6.7411734548664,6.60282847724787,6.72230823064569,162800,0.0,1.0
2000-05-30,21.25,21.38,20.81,21.38,469400,6.68143357816749,6.72230823064569,6.54308860054896,6.72230823064569,469400,0.0,1.0
2000-05-31,21.56,21.75,21.25,21.38,243000,6.77890390330781,6.83864378000672,6.68143357816749,6.72230823064569,243000,0.0,1.0
2000-06-01,21.44,21.75,21.19,21.44,189200,6.7411734548664,6.83864378000672,6.66256835394678,6.7411734548664,189200,0.0,1.0
2000-06-02,21.69,21.75,21.31,21.31,180400,6.81977855578601,6.83864378000672,6.70029880238819,6.70029880238819,180400,0.0,1.0
2000-06-05,21.75,21.94,21.5,21.56,184100,6.83864378000672,6.89838365670563,6.7600386790871,6.77890390330781,184100,0.0,1.0
2000-06-06,22.0,22.12,21.81,21.88,236600,6.91724888092634,6.95497932936776,6.85750900422743,6.87951843248492,236600,0.0,1.0
2000-06-07,22.0,22.06,21.81,21.81,133000,6.91724888092634,6.93611410514705,6.85750900422743,6.85750900422743,133000,0.0,1.0
2000-06-08,22.19,22.31,22.0,22.06,163300,6.97698875762525,7.01471920606666,6.91724888092634,6.93611410514705,163300,0.0,1.0
2000-06-09,22.5,22.62,22.31,22.44,187000,7.07445908276557,7.11218953120699,7.01471920606666,7.05559385854487,187000,0.0,1.0
2000-06-12,22.59,22.69,22.25,22.56,130900,7.10275691909664,7.13419895946448,6.99585398184596,7.09332430698628,130900,0.0,1.0
2000-06-13,23.0,23.0,22.56,22.62,249900,7.23166928460481,7.23166928460481,7.09332430698628,7.11218953120699,249900,0.0,1.0
2000-06-14,23.5,23.88,23.06,23.12,223200,7.38887948644404,7.50835923984186,7.25053450882552,7.26939973304622,223200,0.0,1.0
2000-06-15,23.5,23.62,23.19,23.19,476300,7.38887948644404,7.42660993488546,7.29140916130372,7.29140916130372,476300,0.0,1.0
2000-06-16,23.5,23.56,23.44,23.56,290700,7.38887948644404,7.40774471066475,7.37001426222334,7.40774471066475,290700,0.0,1.0
2000-06-19,23.12,23.5,23.12,23.5,134000,7.26939973304622,7.38887948644404,7.26939973304622,7.38887948644404,134000,0.0,1.0
2000-06-20,23.12,23.25,22.94,22.94,558600,7.26939973304622,7.31027438552443,7.2128040603841,7.2128040603841,558600,0.0,1.0
2000-06-21,23.5,23.5,22.88,23.25,265800,7.38887948644404,7.38887948644404,7.19393883616339,7.31027438552443,265800,0.0,1.0
2000-06-22,23.5,23.75,23.31,23.69,166100,7.38887948644404,7.46748458736366,7.32913960974513,7.44861936314295,166100,0.0,1.0
2000-06-23,23.38,23.62,23.19,23.5,86100,7.35114903800263,7.42660993488546,7.29140916130372,7.38887948644404,86100,0.0,1.0
2000-06-26,23.0,23.44,22.88,23.44,219500,7.23166928460481,7.37001426222334,7.19393883616339,7.37001426222334,219500,0.0,1.0
2000-06-27,23.0,23.19,23.0,23.06,162800,7.23166928460481,7.29140916130372,7.23166928460481,7.25053450882552,162800,0.0,1.0
2000-06-28,23.0,23.06,22.75,23.0,174700,7.23166928460481,7.25053450882552,7.15306418368519,7.23166928460481,174700,0.0,1.0
2000-06-29,23.0,23.06,23.0,23.06,120500,7.23166928460481,7.25053450882552,7.23166928460481,7.25053450882552,120500,0.0,1.0
2000-06-30,22.38,23.06,22.12,23.0,484000,7.03672863432416,7.25053450882552,6.95497932936776,7.23166928460481,484000,0.0,1.0
2000-07-03,23.19,23.19,22.62,22.62,149400,7.29140916130372,7.29140916130372,7.11218953120699,7.11218953120699,149400,0.0,1.0
2000-07-05,23.19,23.31,23.06,23.19,249500,7.29140916130372,7.32913960974513,7.25053450882552,7.29140916130372,249500,0.0,1.0
2000-07-06,23.56,23.75,23.06,23.12,369500,7.40774471066475,7.46748458736366,7.25053450882552,7.26939973304622,369500,0.0,1.0
2000-07-07,23.78,23.94,23.62,23.69,307300,7.47691719947402,7.52722446406257,7.42660993488546,7.44861936314295,307300,0.0,1.0
2000-07-10,23.59,23.75,23.59,23.62,81400,7.4171773227751,7.46748458736366,7.4171773227751,7.42660993488546,81400,0.0,1.0
2000-07-11,23.28,23.75,23.12,23.62,164300,7.31970699763478,7.46748458736366,7.26939973304622,7.42660993488546,164300,0.0,1.0
2000-07-12,23.41,23.5,23.19,23.19,163500,7.36058165011298,7.38887948644404,7.29140916130372,7.29140916130372,163500,0.0,1.0
2000-07-13,23.5,23.69,23.44,23.69,356000,7.38887948644404,7.44861936314295,7.37001426222334,7.44861936314295,356000,0.0,1.0
2000-07-14,23.47,23.62,23.38,23.62,250500,7.37944687433369,7.42660993488546,7.35114903800263,7.42660993488546,250500,0.0,1.0
2000-07-17,23.53,23.75,23.44,23.75,192900,7.3983120985544,7.46748458736366,7.37001426222334,7.46748458736366,192900,0.0,1.0
2000-07-18,23.41,23.56,23.19,23.25,145700,7.36058165011298,7.40774471066475,7.29140916130372,7.31027438552443,145700,0.0,1.0
